Date and Time (UTC), Unix Timestamp (UTC), ID, Data, Protocol, SNR, Receiver
2023-06-15T13:11:52.370Z,1686834712.370,36,7,S256-69kHz,45,000022
2023-06-15T13:11:52.370Z,1686834712.370,36,7,S256-71kHz,13,000022
2023-06-15T13:11:52.366Z,1686834712.366,36,7,S256-69kHz,27,000047
2023-06-15T13:11:42.387Z,1686834702.387,36,7,S256-69kHz,34,000632
2023-06-15T13:11:42.370Z,1686834702.370,36,7,S256-69kHz,45,000022
2023-06-15T13:11:42.367Z,1686834702.367,36,7,S256-69kHz,28,000047
2023-06-15T13:11:32.387Z,1686834692.387,36,7,S256-69kHz,36,000632
2023-06-15T13:11:32.374Z,1686834692.374,36,7,S256-71kHz,13,000022
2023-06-15T13:11:32.370Z,1686834692.370,36,7,S256-69kHz,44,000022
2023-06-15T13:11:32.366Z,1686834692.366,36,7,S256-69kHz,30,000047
2023-06-15T13:11:22.386Z,1686834682.386,36,7,S256-69kHz,36,000632
2023-06-15T13:11:22.370Z,1686834682.370,36,7,S256-69kHz,45,000022
2023-06-15T13:11:22.370Z,1686834682.370,36,7,S256-71kHz,14,000022
2023-06-15T13:11:22.367Z,1686834682.367,36,7,S256-69kHz,28,000047
2023-06-15T13:11:12.387Z,1686834672.387,36,7,S256-69kHz,38,000632
2023-06-15T13:11:12.370Z,1686834672.370,36,7,S256-69kHz,43,000022
2023-06-15T13:11:12.370Z,1686834672.370,36,7,S256-71kHz,14,000022
2023-06-15T13:11:12.367Z,1686834672.367,36,7,S256-69kHz,26,000047
2023-06-15T13:11:02.387Z,1686834662.387,36,7,S256-69kHz,37,000632
2023-06-15T13:11:02.371Z,1686834662.371,36,7,S256-71kHz,13,000022
2023-06-15T13:11:02.370Z,1686834662.370,36,7,S256-69kHz,44,000022
2023-06-15T13:11:02.367Z,1686834662.367,36,7,S256-69kHz,30,000047
2023-06-15T13:10:52.387Z,1686834652.387,36,7,S256-69kHz,37,000632
2023-06-15T13:10:52.370Z,1686834652.370,36,7,S256-69kHz,44,000022
2023-06-15T13:10:52.370Z,1686834652.370,36,7,S256-71kHz,15,000022
2023-06-15T13:10:52.367Z,1686834652.367,36,7,S256-69kHz,28,000047
2023-06-15T13:10:42.386Z,1686834642.386,36,7,S256-69kHz,35,000632
2023-06-15T13:10:42.370Z,1686834642.370,36,7,S256-69kHz,46,000022
2023-06-15T13:10:42.370Z,1686834642.370,36,7,S256-71kHz,12,000022
2023-06-15T13:10:42.368Z,1686834642.368,36,7,S256-69kHz,27,000047
2023-06-15T13:10:32.386Z,1686834632.386,36,7,S256-69kHz,32,000632
2023-06-15T13:10:32.371Z,1686834632.371,36,7,S256-69kHz,45,000022
2023-06-15T13:10:32.371Z,1686834632.371,36,7,S256-71kHz,14,000022
2023-06-15T13:10:32.368Z,1686834632.368,36,7,S256-69kHz,27,000047
2023-06-15T13:10:22.386Z,1686834622.386,36,7,S256-69kHz,35,000632
2023-06-15T13:10:22.370Z,1686834622.370,36,7,S256-69kHz,47,000022
2023-06-15T13:10:22.368Z,1686834622.368,36,7,S256-69kHz,25,000047
2023-06-15T13:10:12.385Z,1686834612.385,36,7,S256-69kHz,32,000632
2023-06-15T13:10:12.370Z,1686834612.370,36,7,S256-69kHz,44,000022
2023-06-15T13:10:12.368Z,1686834612.368,36,7,S256-69kHz,26,000047
2023-06-15T13:10:02.385Z,1686834602.385,36,7,S256-69kHz,32,000632
